Layers	Filter_Size	Filters/Layer	Epochs	Batch_Size	Train_Time	Loss	Val_Loss
4.0	3.0	32.0	100.0	40.0	1045.951033115387	0.0003012537199538201	0.00044053187593817727
4.0	3.0	32.0	300.0	64.0	2166.6627881526947	0.00021637111785821617	0.0004895623424090445
4.0	3.0	32.0	100.0	64.0	847.369401216507	0.0003372598148416728	0.0005164727917872369
4.0	3.0	32.0	200.0	64.0	1444.885232925415	0.0002477078523952514	0.0005514724762178957
4.0	3.0	32.0	100.0	80.0	813.5535976886749	0.0003667267446871847	0.0005788473063148558
4.0	2.0	32.0	100.0	64.0	777.8799357414246	0.0004566302231978625	0.000579037528950721
4.0	3.0	64.0	100.0	64.0	1357.034786939621	0.0001967029966181144	0.0006470134831033647
4.0	3.0	16.0	100.0	40.0	698.5567531585692	0.0005995309329591691	0.0006567330565303563
5.0	3.0	32.0	100.0	40.0	2584.629983901977	0.00024339786614291367	0.0006997981108725071
4.0	3.0	16.0	100.0	64.0	484.79444241523737	0.00065751833608374	0.0007080046343617141
5.0	3.0	16.0	100.0	64.0	794.8870048522949	0.0005632395623251796	0.0009144683135673405
6.0	3.0	16.0	100.0	64.0	1863.0545954704285	0.0004291314398869872	0.0011908371234312654
4.0	4.0	32.0	100.0	64.0	1737.8103952407835	0.0004900431376881896	0.0014112758217379444
6.0	3.0	32.0	100.0	40.0	4743.804999351502	0.00032031734008342033	0.0014694344718009233
